--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| PDO                                          | pdoLabel                                                                              | OOPS                                          | oopsLabel                                                           |
| <http://purl.obolibrary.org/obo/PDO_0000252> | "maize Rhizoctonia banded leaf fungal disease"^^xsd:string                            | <http://purl.obolibrary.org/obo/OOPS_1003043> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000230> | "maize Sclerospora green ear downy mildew fungal disease"^^xsd:string                 | <http://purl.obolibrary.org/obo/OOPS_1002957> | "Green ear downy mildew (graminicola downy mildew)"                 |
| <http://purl.obolibrary.org/obo/PDO_0000263> | "maize Curvularia intermedia leaf spot fungal disease"^^xsd:string                    | <http://purl.obolibrary.org/obo/OOPS_1003124> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000263> | "maize Curvularia intermedia leaf spot fungal disease"^^xsd:string                    | <http://purl.obolibrary.org/obo/OOPS_1003123> | "Curvularia leaf spot"                                              |
| <http://purl.obolibrary.org/obo/PDO_0000178> | "maize Gibberella ear rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003083> | "Gibberella ear and stalk rot"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000178> | "maize Gibberella ear rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003082> | "Gibberella ear and stalk rot"                                      |
| <http://purl.obolibrary.org/obo/PDO_0000178> | "maize Gibberella ear rot fungal disease"^^xsd:string                                 | <http://purl.obolibrary.org/obo/OOPS_1003084> | "Seed rot-seedling blight"                                          |
| <http://purl.obolibrary.org/obo/PDO_0000051> | "rice sheath blight fungal disease"^^xsd:string                                       | <http://purl.obolibrary.org/obo/OOPS_1002860> | "Seedling blight"                                                   |
| <http://purl.obolibrary.org/obo/PDO_0000051> | "rice sheath blight fungal disease"^^xsd:string                                       | <http://purl.obolibrary.org/obo/OOPS_1002861> | "Sheath blight"                                                     |
| <http://purl.obolibrary.org/obo/PDO_0000211> | "rice Achlya conspicua water-mold fungal disease"^^xsd:string                         | <http://purl.obolibrary.org/obo/OOPS_1002841> | "Water-mold (seed-rot and seedling disease)"                        |
