	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
2022	OOPS:xxxxxxx	Phytophthora drechsleri Tucker Phytophthora root rot of Manihot esculenta Crantz	NCBITaxon:4794	Phytophthora drechsleri Tucker	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2023	OOPS:xxxxxxx	Phytophthora erythroseptica Pethybr. Phytophthora root rot of Manihot esculenta Crantz	NCBITaxon:111171	Phytophthora erythroseptica Pethybr.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2024	OOPS:xxxxxxx	Phytophthora nicotianae Breda de Haan var. parasitica Phytophthora root rot of Manihot esculenta Crantz	NCBITaxon:4790	Phytophthora nicotianae Breda de Haan var. parasitica (Dastur) G.M. Waterhouse	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2025	OOPS:xxxxxxx	Pythium spp. Pythium root rot of Manihot esculenta Crantz	NCBITaxon:944628	Pythium spp.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2026	OOPS:xxxxxxx	Rigidoporus microporus Rigidopurus root rot of Manihot esculenta Crantz	NCBITaxon:219653	Rigidoporus microporus (Sw.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2029	OOPS:xxxxxxx	Uromyces spp. Rust of Manihot esculenta Crantz	NCBITaxon:5263	Uromyces spp.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2031	OOPS:xxxxxxx	Athelia rolfsii Sclerotium root rot of Manihot esculenta Crantz	NCBITaxon:39291	Athelia rolfsii (Curzi) Tu & Kimbrough	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2032	OOPS:xxxxxxx	Sphaceloma manihoticola Bitancourt & Jenk. Superelongation of Manihot esculenta Crantz	NCBITaxon:49222	Sphaceloma manihoticola Bitancourt & Jenk.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2033	OOPS:xxxxxxx	Elsinoe brasiliensis Bitancourt & Jenk. Superelongation of Manihot esculenta Crantz	NCBITaxon:40996	Elsinoe brasiliensis Bitancourt & Jenk.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2034	OOPS:xxxxxxx	Verticillium dahliae Kleb. Verticillium root and stem rot of Manihot esculenta Crantz	NCBITaxon:1202531	Verticillium dahliae Kleb.	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0009005	root
2035	OOPS:xxxxxxx	Phaeoramularia manihotis White leaf spot of Manihot esculenta Crantz	NCBITaxon:131321	Phaeoramularia manihotis (F. Stevens & Solheim) M.B. Ellis	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0025034	leaf
2038	OOPS:xxxxxxx	African cassava mosaic virus African cassava mosaic of Manihot esculenta Crantz	NCBITaxon:10817	African cassava mosaic virus	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2040	OOPS:xxxxxxx	Cassava common mosaic virus Cassava common mosaic of Manihot esculenta Crantz	NCBITaxon:39046	Cassava common mosaic virus	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2044	OOPS:xxxxxxx	Cassava Ivorian bacilliform virus Cassava symptomless infections of Manihot esculenta Crantz	NCBITaxon:1464778	Cassava Ivorian bacilliform virus	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2045	OOPS:xxxxxxx	Cassava vein mosaic virus Cassava vein mosaic of Manihot esculenta Crantz	NCBITaxon:38062	Cassava vein mosaic virus	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2046	OOPS:xxxxxxx	Indian cassava mosaic virus Indian cassava mosaic of Manihot esculenta Crantz	NCBITaxon:31600	Indian cassava mosaic virus	NCBITaxon:3983	Manihot esculenta Crantz	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2049	OOPS:xxxxxxx	Pectobacterium carotovorum Bacterial soft rot of Cattleya	NCBITaxon:554	Pectobacterium carotovorum (Jones 1901) Waldee 1945	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2050	OOPS:xxxxxxx	Acidovorax avenae subsp. cattleya Brown spot of Cattleya	NCBITaxon:80867	Acidovorax avenae subsp. cattleya (Pavarino 1911) Willems et al. 1992	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2051	OOPS:xxxxxxx	Pseudomonas cattleya Brown spot of Cattleya	NCBITaxon:1496883	Pseudomonas cattleya (Pav.) Sav.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2052	OOPS:xxxxxxx	Colletotrichum crassipes Anthracnose of Cattleya	NCBITaxon:218121	Colletotrichum crassipes (Speg.) Arx	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2054	OOPS:xxxxxxx	Colletotrichum gloeosporioides Anthracnose of Cattleya	NCBITaxon:1215364	Colletotrichum gloeosporioides (Penz.) Penz. & Sacc [anamorph]	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2055	OOPS:xxxxxxx	Gloeosporium cattleyae Henn. Anthracnose of Cattleya	NCBITaxon:446931	Gloeosporium cattleyae Henn.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2057	OOPS:xxxxxxx	Phytophthora cactorum Black rot of Cattleya	NCBITaxon:29920	Phytophthora cactorum (Lebert & Cohn) J. Schroet.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2058	OOPS:xxxxxxx	Pythium ultimum Trow Black rot of Cattleya	NCBITaxon:431595	Pythium ultimum Trow	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2059	OOPS:xxxxxxx	Alternaria sp. Bloom shoot necrosis of Cattleya	NCBITaxon:1551618	Alternaria sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025029	shoot axis
2062	OOPS:xxxxxxx	Botrytis cinerea Pers. Gray mold of Cattleya	NCBITaxon:1290391	Botrytis cinerea Pers.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
2065	OOPS:xxxxxxx	Curvularia sp. Leaf necrosis of Cattleya	NCBITaxon:1271788	Curvularia sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2066	OOPS:xxxxxxx	Pythium splendens H. Braun Leaf rot of Cattleya	NCBITaxon:944628	Pythium splendens H. Braun	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2067	OOPS:xxxxxxx	Alternaria sp. Leaf spot of Cattleya	NCBITaxon:1551618	Alternaria sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2068	OOPS:xxxxxxx	Cercospora angraeci Feuillebois & Roum. Leaf spot of Cattleya	NCBITaxon:1247214	Cercospora angraeci Feuillebois & Roum.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2070	OOPS:xxxxxxx	Chaetodiplodia sp. Leaf spot of Cattleya	NCBITaxon:565396	Chaetodiplodia sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2071	OOPS:xxxxxxx	Coniothyrium sp. Leaf spot of Cattleya	NCBITaxon:754269	Coniothyrium sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2072	OOPS:xxxxxxx	Corynespora cassiicola Leaf spot of Cattleya	NCBITaxon:1448308	Corynespora cassiicola (Berk. & M.A. Curtis) C.T. Wei	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2073	OOPS:xxxxxxx	Diplodia laelio-cattleyae Sibilia Leaf spot of Cattleya	NCBITaxon:66735	Diplodia laelio-cattleyae Sibilia	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2074	OOPS:xxxxxxx	Diplodia paraphysaria Sacc. Leaf spot of Cattleya	NCBITaxon:66735	Diplodia paraphysaria Sacc.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2076	OOPS:xxxxxxx	Lasiodiplodia theobromae Leaf spot of Cattleya	NCBITaxon:45133	Lasiodiplodia theobromae (Pat.) Griffon & Maubl.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2078	OOPS:xxxxxxx	Phoma oncidii-sphacelati Tassi Leaf spot of Cattleya	NCBITaxon:1543971	Phoma oncidii-sphacelati Tassi	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2079	OOPS:xxxxxxx	Phyllosticta capitalensis Henn. Leaf spot of Cattleya	NCBITaxon:1236105	Phyllosticta capitalensis Henn.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2080	OOPS:xxxxxxx	Pseudocercospora sp. Leaf spot of Cattleya	NCBITaxon:131324	Pseudocercospora sp.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0025034	leaf
2082	OOPS:xxxxxxx	Fusarium oxysporum Schlechtend. Pseudobulb and root rot of Cattleya	NCBITaxon:909455	Fusarium oxysporum Schlechtend.	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0009005	root
2084	OOPS:xxxxxxx	Rhizoctonia solani Kühn Root and stem rot of Cattleya	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0009005	root
2085	OOPS:xxxxxxx	Phytophthora palmivora Root rot of Cattleya	NCBITaxon:4796	Phytophthora palmivora (E.J. Butler) E.J. Butler	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0009005	root
2086	OOPS:xxxxxxx	Sphenospora kevorkianii Linder Rust of Cattleya	NCBITaxon:367881	Sphenospora kevorkianii Linder	NCBITaxon:38236	Cattleya	http://purl.obolibrary.org/obo/PO_0000003	whole plant
