defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment	
PSO:0002041	soybean Fusarium root rot fungal disease	NCBITaxon:5506	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002042	soybean Rhizoctonia damping-off and root rot fungal disease	NCBITaxon:456999	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002043	soybean Sclerotium blight fungal disease	NCBITaxon:39291	NCBITaxon:3847	PO:0009011	southern blight|southern stem rot|white mold		PSO:cooperl	APSNET:soybean	
PSO:0002044	soybean Stachybotrys root rot fungal disease	NCBITaxon:74722	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002045	soybean stem canker fungal disease	NCBITaxon:60444	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002046	soybean sudden death syndrome fungal disease	NCBITaxon:232082	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002047	soybean Thielaviopsis root rot fungal disease	NCBITaxon:124036	NCBITaxon:3847	PO:0009005	black root rot		PSO:cooperl	APSNET:soybean	
PSO:0002048	soybean Phytophthora root and stem rot oomycete disease	NCBITaxon:555429|NCBITaxon:67593		PO:0025025|PO:0009047			PSO:cooperl	APSNET:soybean	
PSO:0002049	soybean downy mildew oomycete disease	NCBITaxon:86334	NCBITaxon:3847	PO:0009011			PSO:cooperl	APSNET:soybean	
PSO:0002050	soybean Pythium seed rot oomycete disease	NCBITaxon:4797|NCBITaxon:1448052	NCBITaxon:3847	PO:0009010			PSO:cooperl	APSNET:soybean	
PSO:0002051	soybean Pythium damping-off oomycete disease	NCBITaxon:4797|NCBITaxon:1448052	NCBITaxon:3847	PO:0008037			PSO:cooperl	APSNET:soybean	
PSO:0002052	soybean Pythium root rot oomycete disease	NCBITaxon:4797|NCBITaxon:1448052	NCBITaxon:3847	PO:0009005			PSO:cooperl	APSNET:soybean	
PSO:0002053	soybean alfalfa mosaic virus disease	NCBITaxon:12321	NCBITaxon:3847	PO:0009011		SOY:0001307	PSO:cooperl	APSNET:soybean	
PSO:0002054	soybean bean pod mottle virus disease	NCBITaxon:12260	NCBITaxon:3847	PO:0030100	BPMV	SOY:0001490	PSO:cooperl	APSNET:soybean	
PSO:0002055	soybean bean common mosaic virus disease	NCBITaxon:12196	NCBITaxon:3847	PO:0009011	BCMV|peanut stripe strain|Azuki bean mosaic strain	SOY:0001512	PSO:cooperl	APSNET:soybean	
PSO:0002056	soybean cucumber mosaic virus disease	NCBITaxon:12305	NCBITaxon:3847	PO:0009011	CuMV|Soybean stunt|CMV|CMV-SS	SOY:0001508	PSO:cooperl	APSNET:soybean	
PSO:0002057	soybean cowpea chlorotic mottle virus disease	NCBITaxon:12303	NCBITaxon:3847	PO:0009011	CCMV|bean yellow stipple strain|soybean strain|CCMV-S	SOY:0001333	PSO:cooperl	APSNET:soybean	
