defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000971	bean nematode damage	NCBITaxon:6231	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000972	bean insect damage	NCBITaxon:50557	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000973	bean arachnid damage	NCBITaxon:6854	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000974	bean bird damage	NCBITaxon:8782	NCBITaxon:3885	PO:0009011			PSO:cooperl		
PSO:0000975	bean rodent damage	NCBITaxon:314147	NCBITaxon:3885	PO:0009011			PSO:cooperl		
