defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid	contributor	source	comment	
PSO:0001101	sorghum nematode damage	NCBITaxon:6231	NCBITaxon:4558	PO:0009011			PSO:cooperl		
PSO:0001102	sorghum insect damage	NCBITaxon:50557	NCBITaxon:4558	PO:0009011			PSO:cooperl		
PSO:0001103	sorghum arachnid damage	NCBITaxon:6854	NCBITaxon:4558	PO:0009011			PSO:cooperl		
PSO:0001104	sorghum bird damage	NCBITaxon:8782	NCBITaxon:4558	PO:0009011			PSO:cooperl		
PSO:0001105	sorghum rodent damage	NCBITaxon:314147	NCBITaxon:4558	PO:0009011			PSO:cooperl		
