defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid
PSO:0000403	rice arachnid damage	NCBITaxon:6854	NCBITaxon:4530	PO:0009011		
PSO:0000404	rice bird damage	NCBITaxon:8782	NCBITaxon:4530	PO:0009011		
PSO:0000405	rice insect damage	NCBITaxon:50557	NCBITaxon:4530	PO:0009011		
PSO:0000406	rice nematode damage	NCBITaxon:6231	NCBITaxon:4530	PO:0009011		
PSO:0000407	rice rodent damage	NCBITaxon:314147	NCBITaxon:4530	PO:0009011		
