defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid
PSO:0000506	potato nematode damage	NCBITaxon:6231	NCBITaxon:4113	PO:0009011		
PSO:0000507	potato insect damage	NCBITaxon:50557	NCBITaxon:4113	PO:0009011		
PSO:0000508	potato arachnid damage	NCBITaxon:6854	NCBITaxon:4113	PO:0009011		
PSO:0000509	potato bird damage	NCBITaxon:8782	NCBITaxon:4113	PO:0009011		
PSO:0000510	potato rodent damage	NCBITaxon:314147	NCBITaxon:4113	PO:0009011		
