defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000302	maize arachnid damage	NCBITaxon:6854	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:Maize	
PSO:0000303	maize bird damage	NCBITaxon:8782	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:Maize	
PSO:0000304	maize insect damage	NCBITaxon:50557	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:Maize	
PSO:0000305	maize nematode damage	NCBITaxon:6231	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:Maize	
PSO:0000306	maize rodent damage	NCBITaxon:314147	NCBITaxon:4577	PO:0009011			PSO:cooperl	APSNET:Maize	
