defined_class	animaldamage	causalagent	host	plantstructure	synonyms	altid
PSO:0000237	cassava Acaro solitario damage	NCBITaxon:50018	NCBITaxon:3983	PO:0025034	OLIGPE	
PSO:0000234	cassava Caliothrips masculinus damage	NCBITaxon:1182844	NCBITaxon:3983	PO:0000003	CALHMA	
PSO:0000236	cassava green mite damage	NCBITaxon:1602343	NCBITaxon:3983	PO:0000003	cassava mite|MONNTA	
PSO:0000238	cassava mealybug damage	NCBITaxon:483259	NCBITaxon:3983	PO:0000003	cassava mealybug disease|PHENMA	
PSO:0000233	cassava whitefly damage	NCBITaxon:7038	NCBITaxon:3983	PO:0000004	Bemisia tabaci disease|BEMITA	
PSO:0000232	cassava scale damage	NCBITaxon:340519	NCBITaxon:3983	PO:0000003	tapioca scale|AONMAL	
