defined_class	disease	pathogen	host	plantstructure	synonyms	altid	contributor	source	comment
PSO:0000056	maize Curvularia intermedia leaf spot fungal disease	NCBITaxon:95735	NCBITaxon:4577	PO:0009025		PDO:0000263	PSO:cooperl	APSNET:maize	
PSO:0000057	maize Curvularia lunata leaf spot fungal disease	NCBITaxon:5503	NCBITaxon:4577	PO:0009025		PDO:0000264	PSO:cooperl	APSNET:maize	
PSO:0000058	maize Curvularia senegalensis leaf spot fungal disease	NCBITaxon:215132	NCBITaxon:4577	PO:0009025		PDO:0000265	PSO:cooperl	APSNET:maize	
PSO:0000059	maize Curvularia tuberculata leaf spot fungal disease	NCBITaxon:1056642	NCBITaxon:4577	PO:0009025		PDO:0000266	PSO:cooperl	APSNET:maize	
PSO:0000060	maize Dictyochaeta minor root rot fungal disease	NCBITaxon:139969	NCBITaxon:4577	PO:0009005		PDO:0000204	PSO:cooperl	APSNET:maize	
PSO:0000061	maize Didymella leaf spot fungal disease	NCBITaxon:487631	NCBITaxon:4577	PO:0009025		PDO:0000203	PSO:cooperl	APSNET:maize	
PSO:0000062	maize Diplodia leaf rot fungal disease	NCBITaxon:371119	NCBITaxon:4577	PO:0009025		PDO:0000254	PSO:cooperl	APSNET:maize	
PSO:0000063	maize Diplodia leaf spot fungal disease	NCBITaxon:238245	NCBITaxon:4577	PO:0009025		PDO:0000258	PSO:cooperl	APSNET:maize	
PSO:0000064	maize Diplodia leaf streak fungal disease	NCBITaxon:371126	NCBITaxon:4577	PO:0009025		PDO:0000259	PSO:cooperl	APSNET:maize	
PSO:0000065	maize Diplodia stalk rot fungal disease	NCBITaxon:371119	NCBITaxon:4577	PO:0009047		PDO:0000255	PSO:cooperl	APSNET:maize	
PSO:0000066	maize Doratomyces leafonitis minor leaf rot fungal disease	NCBITaxon:186354	NCBITaxon:4577	PO:0009025		PDO:0000205	PSO:cooperl	APSNET:maize	
PSO:0000067	maize Epicoccum minor leaf spot fungal disease	NCBITaxon:105696	NCBITaxon:4577	PO:0009025		PDO:0000206	PSO:cooperl	APSNET:maize	
PSO:0000069	maize fungal disease	NCBITaxon:4751	NCBITaxon:4577	PO:0009011		PDO:0000012	PSO:cooperl	APSNET:maize	
PSO:0000070	maize Fusarium culmorum minor leaf rot fungal disease	NCBITaxon:5516	NCBITaxon:4577	PO:0009025		PDO:0000271	PSO:cooperl	APSNET:maize	
PSO:0000071	maize Fusarium verticillioides leaf rot fungal disease	NCBITaxon:117187	NCBITaxon:4577	PO:0009025		PDO:0000247	PSO:cooperl	APSNET:maize	
PSO:0000072	maize Fusarium graminearum leaf rot fungal disease	NCBITaxon:5518	NCBITaxon:4577	PO:0009025		PDO:0000180	PSO:cooperl	APSNET:maize	
PSO:0000073	maize Fusarium seedling blight fungal disease	NCBITaxon:117187	NCBITaxon:4577	PO:0008037		PDO:0000181	PSO:cooperl	APSNET:maize	
PSO:0000074	maize Fusarium seed rot fungal disease	NCBITaxon:117187	NCBITaxon:4577	PO:0009010		PDO:0000248	PSO:cooperl	APSNET:maize	
PSO:0000075	maize Gaeumannomyces sheath rot fungal disease	NCBITaxon:29850	NCBITaxon:4577	PO:0020104		PDO:0000241	PSO:cooperl	APSNET:maize	
PSO:0000076	maize Gibberella leaf rot fungal disease	NCBITaxon:5518	NCBITaxon:4577	PO:0009025		PDO:0000178	PSO:cooperl	APSNET:maize	
PSO:0000077	maize Gibberella stalk rot fungal disease	NCBITaxon:5518	NCBITaxon:4577	PO:0009047		PDO:0000179	PSO:cooperl	APSNET:maize	
PSO:0000078	maize Goss's bacterial wilt disease	NCBITaxon:31963	NCBITaxon:4577	PO:0009011		PDO:0000151	PSO:cooperl	APSNET:maize	
PSO:0000079	maize holcus spot bacterial disease	NCBITaxon:321	NCBITaxon:4577	PO:0009011		PDO:0000152	PSO:cooperl	APSNET:maize	
PSO:0000080	maize Hyalothyridium leaf spot fungal disease	NCBITaxon:55172	NCBITaxon:4577	PO:0009025		PDO:0000232	PSO:cooperl	APSNET:maize	
PSO:0000081	maize Lasiodiplodia black kernel rot fungal disease	NCBITaxon:45133	NCBITaxon:4577	PO:0009011		PDO:0000218	PSO:cooperl	APSNET:maize	
