defined_class	disease	pathogen	host	plantstructure	altid	synonyms
PSO:0100080	disease of peach and nectarine	NCBITaxon:1	NCBITaxon:3760	PO:0009011		
PSO:0100081	disease of peanut	NCBITaxon:1	NCBITaxon:3818	PO:0009011		
PSO:0100082	disease of pear	NCBITaxon:1	NCBITaxon:23211	PO:0009011		
PSO:0100083	disease of pearl millet	NCBITaxon:1	NCBITaxon:4543	PO:0009011		
PSO:0100084	disease of pecan	NCBITaxon:1	NCBITaxon:32201	PO:0009011		
PSO:0100085	disease of pepper	NCBITaxon:1	NCBITaxon:4071	PO:0009011		
PSO:0100086	disease of persian violet	NCBITaxon:1	NCBITaxon:13525	PO:0009011		
PSO:0100087	disease of pigeonpea	NCBITaxon:1	NCBITaxon:3821	PO:0009011		
PSO:0100088	disease of pineapple	NCBITaxon:1	NCBITaxon:4615	PO:0009011		
PSO:0100089	disease of pistachio	NCBITaxon:1	NCBITaxon:55513	PO:0009011		
PSO:0100090	disease of pocketbook plant	NCBITaxon:1	NCBITaxon:660128	PO:0009011		
PSO:0100091	disease of poinsettia	NCBITaxon:1	NCBITaxon:37495	PO:0009011		
PSO:0100092	disease of potato	NCBITaxon:1	NCBITaxon:4113	PO:0009011
PSO:0100093	disease of primulas	NCBITaxon:1	NCBITaxon:49647	PO:0009011		
PSO:0100094	disease of rapeseed = canola	NCBITaxon:1	NCBITaxon:138011	PO:0009011		
PSO:0100095	disease of red clover	NCBITaxon:1	NCBITaxon:57577	PO:0009011		
PSO:0100097	disease of rice	NCBITaxon:1	NCBITaxon:4530	PO:0009011
PSO:0100098	disease of rose	NCBITaxon:1	NCBITaxon:3764	PO:0009011		
PSO:0100099	disease of rye	NCBITaxon:1	NCBITaxon:4550	PO:0009011		
PSO:0100100	disease of safflower	NCBITaxon:1	NCBITaxon:4222	PO:0009011		
PSO:0100101	disease of sapphire flower	NCBITaxon:1	NCBITaxon:225613	PO:0009011		
PSO:0100102	disease of sorghum	NCBITaxon:1	NCBITaxon:4558	PO:0009011		
PSO:0100103	disease of soybean	NCBITaxon:1	NCBITaxon:3847	PO:0009011		
PSO:0100104	disease of spinach	NCBITaxon:1	NCBITaxon:3562	PO:0009011		
PSO:0100105	disease of strawberry	NCBITaxon:1	NCBITaxon:3747	PO:0009011		
PSO:0100106	disease of sugarcane	NCBITaxon:1	NCBITaxon:4546	PO:0009011		
PSO:0100107	disease of sunflower and jerusalem artichoke	NCBITaxon:1	NCBITaxon:4232	PO:0009011		
PSO:0100108	disease of sweet cherry and sour cherry	NCBITaxon:1	NCBITaxon:42229	PO:0009011		
PSO:0100109	disease of sweetgum	NCBITaxon:1	NCBITaxon:4398	PO:0009011		
PSO:0100110	disease of sweetpotato	NCBITaxon:1	NCBITaxon:4120	PO:0009011		
PSO:0100111	disease of sycamore	NCBITaxon:1	NCBITaxon:4402	PO:0009011		
PSO:0100112	disease of tea	NCBITaxon:1	NCBITaxon:4442	PO:0009011		
PSO:0100113	disease of tobacco	NCBITaxon:1	NCBITaxon:4097	PO:0009011		
PSO:0100114	disease of tomato	NCBITaxon:1	NCBITaxon:4081	PO:0009011		
PSO:0100116	disease of verbena	NCBITaxon:1	NCBITaxon:22002	PO:0009011
PSO:0100117	disease of wheat	NCBITaxon:1	NCBITaxon:4564	PO:0009011
