	iri	iri_label	pathogen	pathogen_label	host	host_label	plantstructure	plantstructure_label
68	OOPS:xxxxxxx	Phytophthora nicotianae Breda de Haan var. parasitica of Pistacia vera L.	NCBITaxon:4790	Phytophthora nicotianae Breda de Haan var. parasitica (Dastur) G. M. Waterhouse	NCBITaxon:55513	Pistacia vera L.	http://purl.obolibrary.org/obo/PO_0004518	bark
71	OOPS:xxxxxxx	Erwinia chrysanthemi Buckholder, McFadden & Dimock of Musa spp.	NCBITaxon:1435351	Erwinia chrysanthemi Buckholder	NCBITaxon:485396	Musa spp.	http://purl.obolibrary.org/obo/PO_0004542	rhizome
80	OOPS:xxxxxxx	 Chalara paradoxa of Phoenix dactylifera L.	NCBITaxon:301394	Chalara paradoxa (De Seyn.) Sacc.	NCBITaxon:42345	Phoenix dactylifera L.	http://purl.obolibrary.org/obo/PO_0004713	terminal bud
82	OOPS:xxxxxxx	Trametes versicolor of Ulmus spp.	NCBITaxon:1142162	Trametes versicolor (L.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
84	OOPS:xxxxxxx	#NAME? Coriolus versicolor of Ulmus spp.	NCBITaxon:1142162	Coriolus versicolor (L.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
86	OOPS:xxxxxxx	Flammulina velutipes of Ulmus spp.	NCBITaxon:1300078	Flammulina velutipes (Curtis	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
88	OOPS:xxxxxxx	Ganoderma applanatum of Ulmus spp.	NCBITaxon:29884	Ganoderma applanatum (Pers.) Pat.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
89	OOPS:xxxxxxx	#NAME? Fomes applanatus of Ulmus spp.	NCBITaxon:40441	Fomes applanatus (Pers.) Gill.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
90	OOPS:xxxxxxx	Phellinus spp. of Ulmus spp.	NCBITaxon:243040	Phellinus spp.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
91	OOPS:xxxxxxx	#NAME? Fomes spp. of Ulmus spp.	NCBITaxon:40441	Fomes spp.	NCBITaxon:24735	Ulmus spp.	http://purl.obolibrary.org/obo/PO_0005352	xylem
