defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
PSO:0000030	Pythium spp. Pythium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:944628	Pythium spp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Pythium spp. Pythium root rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Pythium root rot
PSO:0000031	Rhizoctonia solani Kühn Rhizoctonia root and crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Rhizoctonia solani Kühn Rhizoctonia root and crown rot of Gerbera jamesonii H. Bolus ex J. D. Hook|Rhizoctonia root and crown rot
PSO:0000032	Rhizopus stolonifer Rhizopus blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1274793	Rhizopus stolonifer (Ehrenb.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Rhizopus stolonifer Rhizopus blight of Gerbera jamesonii H. Bolus ex J. D. Hook|Rhizopus blight
PSO:0000033	Sclerotinia sclerotiorum Sclerotinia blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1095762	Sclerotinia sclerotiorum (Lib.) deBary	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Sclerotinia sclerotiorum Sclerotinia blight of Gerbera jamesonii H. Bolus ex J. D. Hook|Sclerotinia blight
PSO:0000034	Septoria sp. Septoria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:39702	Septoria sp.	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009025	leaf	Septoria sp. Septoria leaf spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Septoria leaf spot
PSO:0000035	Verticillium albo-atrum Reinke & Berthier Verticillium wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:27335	Verticillium albo-atrum Reinke & Berthier	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0025022	collective leaf structure	Verticillium albo-atrum Reinke & Berthier Verticillium wilt of Gerbera jamesonii H. Bolus ex J. D. Hook|Verticillium wilt
PSO:0000036	Rhizoctonia solani Kühn Web blight of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1498287	Rhizoctonia solani Kühn	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Rhizoctonia solani Kühn Web blight of Gerbera jamesonii H. Bolus ex J. D. Hook|Web blight
PSO:0000037	Aphelenchoides fragariae Foliar nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:90724	Aphelenchoides fragariae (Ritzema Bos) Christie	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Aphelenchoides fragariae Foliar nematode of Gerbera jamesonii H. Bolus ex J. D. Hook|Foliar nematode
PSO:0000038	Meloidogyne arenaria Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6304	Meloidogyne arenaria (Neal) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Meloidogyne arenaria Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook|Root knot nematodes
PSO:0000039	Meloidogyne hapla Chitwood Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6305	Meloidogyne hapla Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Meloidogyne hapla Chitwood Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook|Root knot nematodes
PSO:0000040	Meloidogyne incognita Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:654580	Meloidogyne incognita (Kofoid & White) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Meloidogyne incognita Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook|Root knot nematodes
PSO:0000041	Meloidogyne javanica Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:6303	Meloidogyne javanica (Treub) Chitwood	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Meloidogyne javanica Root knot nematodes of Gerbera jamesonii H. Bolus ex J. D. Hook|Root knot nematodes
PSO:0000042	Belonolaimus longicaudatus Rau Sting nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:57562	Belonolaimus longicaudatus Rau	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Belonolaimus longicaudatus Rau Sting nematode of Gerbera jamesonii H. Bolus ex J. D. Hook|Sting nematode
PSO:0000043	Paratrichodorus minor Stubby root nematode of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:189296	Paratrichodorus minor (Colbran) Siddiqi	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0009005	root	Paratrichodorus minor Stubby root nematode of Gerbera jamesonii H. Bolus ex J. D. Hook|Stubby root nematode
PSO:0000044	Impatiens necrotic spot virus Impatiens necrotic spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:11612	Impatiens necrotic spot virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Impatiens necrotic spot virus Impatiens necrotic spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Impatiens necrotic spot
PSO:0000045	Tomato spotted wilt virus Spotted wilt of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:1933298	Tomato spotted wilt orthotospovirus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Tomato spotted wilt virus Spotted wilt of Gerbera jamesonii H. Bolus ex J. D. Hook|Spotted wilt
PSO:0000046	Tobacco mosaic virus Tobacco mosaic of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:12242	Tobacco mosaic virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Tobacco mosaic virus Tobacco mosaic of Gerbera jamesonii H. Bolus ex J. D. Hook|Tobacco mosaic
PSO:0000047	Tobacco rattle virus Tobacco ring spot of Gerbera jamesonii H. Bolus ex J. D. Hook	NCBITaxon:12295	Tobacco rattle virus	NCBITaxon:13547	Gerbera jamesonii H. Bolus ex J. D. Hook	PO:0000003	whole plant	Tobacco rattle virus Tobacco ring spot of Gerbera jamesonii H. Bolus ex J. D. Hook|Tobacco ring spot
PSO:0000048	Erwinia chrysanthemi Burkholder Bacterial blight of Saintpaulia ionantha Wendl.	NCBITaxon:1435351	Erwinia chrysanthemi Burkholder	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Erwinia chrysanthemi Burkholder Bacterial blight of Saintpaulia ionantha Wendl.|Bacterial blight
PSO:0000049	Agrobacterium tumefaciens Crown gall of Saintpaulia ionantha Wendl.	NCBITaxon:1454226	Agrobacterium tumefaciens (Smith & Townsend) Conn	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Agrobacterium tumefaciens Crown gall of Saintpaulia ionantha Wendl.|Crown gall
PSO:0000050	Cylindrocarpon destructans Cylindrocarpon root rot of Saintpaulia ionantha Wendl.	NCBITaxon:1255150	Cylindrocarpon destructans (Zinssmeister) Scholten	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Cylindrocarpon destructans Cylindrocarpon root rot of Saintpaulia ionantha Wendl.|Cylindrocarpon root rot
PSO:0000051	Fusarium solani Fusarium root rot of Saintpaulia ionantha Wendl.	NCBITaxon:1501798	Fusarium solani (Mart.) Sacc.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009005	root	Fusarium solani Fusarium root rot of Saintpaulia ionantha Wendl.|Fusarium root rot
PSO:0000052	Botrytis cinerea Pers. ex Fr. Gray mold of Saintpaulia ionantha Wendl.	NCBITaxon:1290391	Botrytis cinerea Pers. ex Fr.	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0000003	whole plant	Botrytis cinerea Pers. ex Fr. Gray mold of Saintpaulia ionantha Wendl.|Gray mold
PSO:0000053	Alternaria sp. Nees Leaf spot of Saintpaulia ionantha Wendl.	NCBITaxon:1551618	Alternaria sp. Nees	NCBITaxon:85262	Saintpaulia ionantha Wendl.	PO:0009025	leaf	Alternaria sp. Nees Leaf spot of Saintpaulia ionantha Wendl.|Leaf spot
