defined_class	defined_class label	pathogen	pathogen label	host	host label	plantstructure	plantstructure label	synonyms
OOPS:0100047	Diseases of Cucurbits	NCBITaxon:1	pathogen	NCBITaxon:3653	Citrullus	PO:0009011	plant structure	
OOPS:0100048	Diseases of Cultivated Wild Rice	NCBITaxon:1	pathogen	NCBITaxon:103762	Zizania palustris	PO:0009011	plant structure	
OOPS:0100049	Diseases of Cyclamen	NCBITaxon:1	pathogen	NCBITaxon:87530	Cyclamen persicum	PO:0009011	plant structure	
OOPS:0100050	Diseases of Date Palm	NCBITaxon:1	pathogen	NCBITaxon:42345	Phoenix dactylifera	PO:0009011	plant structure	
OOPS:0100051	Diseases of Douglas-fir	NCBITaxon:1	pathogen	NCBITaxon:3357	Pseudotsuga menziesii	PO:0009011	plant structure	
OOPS:0100052	Diseases of Elm	NCBITaxon:1	pathogen	NCBITaxon:24735	Ulmus	PO:0009011	plant structure	
OOPS:0100053	Diseases of English (Persian) Walnut	NCBITaxon:1	pathogen	NCBITaxon:51240	Juglans regia	PO:0009011	plant structure	
OOPS:0100054	Diseases of European Hazelnut	NCBITaxon:1	pathogen	NCBITaxon:13450	Corylus	PO:0009011	plant structure	
OOPS:0100055	Diseases of Flax	NCBITaxon:1	pathogen	NCBITaxon:4006	Linum usitatissimum	PO:0009011	plant structure	
OOPS:0100056	Diseases of Foliage Plants (House Plants)	NCBITaxon:1	pathogen	NCBITaxon:4185	Acanthaceae	PO:0009011	plant structure	
OOPS:0100057	Diseases of Fuchsia	NCBITaxon:1	pathogen	NCBITaxon:13069	Fuchsia	PO:0009011	plant structure	
OOPS:0100058	Diseases of Garden Dahlia	NCBITaxon:1	pathogen	NCBITaxon:49745	Dahlia	PO:0009011	plant structure	
OOPS:0100059	Diseases of Geranium	NCBITaxon:1	pathogen	NCBITaxon:4030	Pelargonium	PO:0009011	plant structure	
OOPS:0100060	Diseases of Grape	NCBITaxon:1	pathogen	NCBITaxon:3603	Vitis	PO:0009011	plant structure	
OOPS:0100061	Diseases of Hemp	NCBITaxon:1	pathogen	NCBITaxon:3483	Cannabis sativa	PO:0009011	plant structure	
OOPS:0100062	Diseases of Holiday Cacti	NCBITaxon:1	pathogen	NCBITaxon:3594	Schlumbergera	PO:0009011	plant structure	
OOPS:0100063	Diseases of Hop	NCBITaxon:1	pathogen	NCBITaxon:3486	Humulus lupulus	PO:0009011	plant structure	
OOPS:0100064	Diseases of Impatiens	NCBITaxon:1	pathogen	NCBITaxon:1758100	Impatiens	PO:0009011	plant structure	
OOPS:0100065	Diseases of Jerusalem Cherry	NCBITaxon:1	pathogen	NCBITaxon:45837	Solanum pseudocapsicum	PO:0009011	plant structure	
OOPS:0100066	Diseases of Kalanchoë	NCBITaxon:1	pathogen	NCBITaxon:45339	Kalanchoe blossfeldiana	PO:0009011	plant structure	
OOPS:0100067	Diseases of Lentil	NCBITaxon:1	pathogen	NCBITaxon:3864	Lens culinaris	PO:0009011	plant structure	
OOPS:0100068	Diseases of Lettuce	NCBITaxon:1	pathogen	NCBITaxon:4236	Lactuca sativa	PO:0009011	plant structure	
OOPS:0100069	Diseases of Lingonberry	NCBITaxon:1	pathogen	NCBITaxon:180772	Vaccinium vitis-idaea	PO:0009011	plant structure	
OOPS:0100070	Diseases of Lisianthus	NCBITaxon:1	pathogen	NCBITaxon:52518	Eustoma exaltatum subsp. russellianum	PO:0009011	plant structure	
OOPS:0100071	Diseases of Mango	NCBITaxon:1	pathogen	NCBITaxon:29780	Mangifera indica	PO:0009011	plant structure	
OOPS:0100072	Diseases of Mimulus, Monkey-Flower	NCBITaxon:1	pathogen	NCBITaxon:4154	Mimulus	PO:0009011	plant structure	
OOPS:0100073	Diseases of Mint	NCBITaxon:1	pathogen	NCBITaxon:21819	Mentha	PO:0009011	plant structure	
OOPS:0100074	Diseases of Mustard	NCBITaxon:1	pathogen	NCBITaxon:3707	Brassica juncea	PO:0009011	plant structure	
OOPS:0100075	Diseases of Oats	NCBITaxon:1	pathogen	NCBITaxon:4498	Avena sativa	PO:0009011	plant structure	
OOPS:0100076	Diseases of Onion and Garlic	NCBITaxon:1	pathogen	NCBITaxon:4679	Allium cepa	PO:0009011	plant structure	
OOPS:0100077	Diseases of Papaya	NCBITaxon:1	pathogen	NCBITaxon:3649	Carica papaya	PO:0009011	plant structure	
OOPS:0100078	Diseases of Passionfruit	NCBITaxon:1	pathogen	NCBITaxon:3684	Passiflora	PO:0009011	plant structure	
OOPS:0100079	Diseases of Pea	NCBITaxon:1	pathogen	NCBITaxon:3888	Pisum sativum	PO:0009011	plant structure	
OOPS:0100080	Diseases of Peach and Nectarine	NCBITaxon:1	pathogen	NCBITaxon:3760	Prunus persica	PO:0009011	plant structure	
OOPS:0100081	Diseases of Peanut	NCBITaxon:1	pathogen	NCBITaxon:3818	Arachis hypogaea	PO:0009011	plant structure	
OOPS:0100082	Diseases of Pear	NCBITaxon:1	pathogen	NCBITaxon:23211	Pyrus communis	PO:0009011	plant structure	
OOPS:0100083	Diseases of Pearl Millet	NCBITaxon:1	pathogen	NCBITaxon:4543	Cenchrus americanus	PO:0009011	plant structure	
OOPS:0100084	Diseases of Pecan	NCBITaxon:1	pathogen	NCBITaxon:32201	Carya illinoinensis	PO:0009011	plant structure	
OOPS:0100085	Diseases of Pepper	NCBITaxon:1	pathogen	NCBITaxon:4071	Capsicum	PO:0009011	plant structure	
OOPS:0100086	Diseases of Persian Violet	NCBITaxon:1	pathogen	NCBITaxon:13525	Exacum affine	PO:0009011	plant structure	
OOPS:0100087	Diseases of Pigeonpea	NCBITaxon:1	pathogen	NCBITaxon:3821	Cajanus cajan	PO:0009011	plant structure	
OOPS:0100088	Diseases of Pineapple	NCBITaxon:1	pathogen	NCBITaxon:4615	Ananas comosus	PO:0009011	plant structure	
OOPS:0100089	Diseases of Pistachio	NCBITaxon:1	pathogen	NCBITaxon:55513	Pistacia vera	PO:0009011	plant structure	
OOPS:0100090	Diseases of Pocketbook Plant	NCBITaxon:1	pathogen	NCBITaxon:660128	Calceolaria crenatiflora	PO:0009011	plant structure	
OOPS:0100091	Diseases of Poinsettia	NCBITaxon:1	pathogen	NCBITaxon:37495	Euphorbia pulcherrima	PO:0009011	plant structure	
OOPS:0100092	Diseases of Potato	NCBITaxon:1	pathogen	NCBITaxon:4113	Solanum tuberosum	PO:0009011	plant structure	
OOPS:0100093	Diseases of Primulas	NCBITaxon:1	pathogen	NCBITaxon:49647	Primula	PO:0009011	plant structure	
OOPS:0100094	Diseases of Rapeseed = Canola	NCBITaxon:1	pathogen	NCBITaxon:138011	Brassica napus var. napus	PO:0009011	plant structure	
OOPS:0100095	Diseases of Red Clover	NCBITaxon:1	pathogen	NCBITaxon:57577	Trifolium pratense	PO:0009011	plant structure	
OOPS:0100096	Diseases of Rhododendron	NCBITaxon:1	pathogen	NCBITaxon:4346	Rhododendron	PO:0009011	plant structure	
OOPS:0100097	Diseases of Rice	NCBITaxon:1	pathogen	NCBITaxon:4530	Oryza sativa	PO:0009011	plant structure	
OOPS:0100098	Diseases of Rose	NCBITaxon:1	pathogen	NCBITaxon:3764	Rosa	PO:0009011	plant structure	
OOPS:0100099	Diseases of Rye	NCBITaxon:1	pathogen	NCBITaxon:4550	Secale cereale	PO:0009011	plant structure	
OOPS:0100100	Diseases of Safflower	NCBITaxon:1	pathogen	NCBITaxon:4222	Carthamus tinctorius	PO:0009011	plant structure	
OOPS:0100101	Diseases of Sapphire Flower	NCBITaxon:1	pathogen	NCBITaxon:225613	Browallia speciosa	PO:0009011	plant structure	
OOPS:0100102	Diseases of Sorghum	NCBITaxon:1	pathogen	NCBITaxon:4558	Sorghum bicolor	PO:0009011	plant structure	
OOPS:0100103	Diseases of Soybean	NCBITaxon:1	pathogen	NCBITaxon:3847	Glycine max	PO:0009011	plant structure	
OOPS:0100104	Diseases of Spinach	NCBITaxon:1	pathogen	NCBITaxon:3562	Spinacia oleracea	PO:0009011	plant structure	
OOPS:0100105	Diseases of Strawberry	NCBITaxon:1	pathogen	NCBITaxon:3747	Fragaria ananassa	PO:0009011	plant structure	
OOPS:0100106	Diseases of Sugarcane	NCBITaxon:1	pathogen	NCBITaxon:4546	Saccharum	PO:0009011	plant structure	
OOPS:0100107	Diseases of Sunflower and Jerusalem Artichoke	NCBITaxon:1	pathogen	NCBITaxon:4232	Helianthus annuus	PO:0009011	plant structure	
OOPS:0100108	Diseases of Sweet Cherry and Sour Cherry	NCBITaxon:1	pathogen	NCBITaxon:42229	Prunus avium	PO:0009011	plant structure	
OOPS:0100109	Diseases of Sweetgum	NCBITaxon:1	pathogen	NCBITaxon:4398	Liquidambar	PO:0009011	plant structure	
OOPS:0100110	Diseases of Sweetpotato	NCBITaxon:1	pathogen	NCBITaxon:4120	Ipomoea batatas	PO:0009011	plant structure	
OOPS:0100111	Diseases of Sycamore	NCBITaxon:1	pathogen	NCBITaxon:4402	Platanus	PO:0009011	plant structure	
OOPS:0100112	Diseases of Tea	NCBITaxon:1	pathogen	NCBITaxon:4442	Camellia sinensis	PO:0009011	plant structure	
OOPS:0100113	Diseases of Tobacco	NCBITaxon:1	pathogen	NCBITaxon:4097	Nicotiana tabacum	PO:0009011	plant structure	
OOPS:0100114	Diseases of Tomato	NCBITaxon:1	pathogen	NCBITaxon:4081	Solanum lycopersicum	PO:0009011	plant structure	
OOPS:0100116	Diseases of Verbena	NCBITaxon:1	pathogen	NCBITaxon:22002	Verbena	PO:0009011	plant structure	
OOPS:0100117	Diseases of Wheat	NCBITaxon:1	pathogen	NCBITaxon:4564	Triticum	PO:0009011	plant structure
